frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
63,2,1473.7134399414062 990.5627034505209 2000.661112467448 1434.8738606770833,0,1665.789815266927 1335.5986328125 1810.9608357747395 1382.3218587239583,0,0,0
64,2,1474.2933349609375 994.9442545572916 2004.4807942708333 1435.1324869791667,0,1668.5421549479167 1342.437744140625 1812.8507486979167 1388.0497233072917,0,0,0
65,2,1474.8732299804688 999.3258056640625 2008.3004760742188 1435.39111328125,0,1671.2944946289062 1349.27685546875 1814.7406616210938 1393.777587890625,0,0,0
66,2,1475.453125 1003.7073567708334 2012.1201578776042 1435.6497395833333,0,1674.0468343098958 1356.115966796875 1816.6305745442708 1399.5054524739583,0,0,0
67,2,1476.0330200195312 1008.0889078776041 2015.9398396809895 1435.9083658854167,0,1676.7991739908855 1362.955078125 1818.520487467448 1405.2333170572917,0,0,0
68,2,1476.6129150390625 1012.470458984375 2019.759521484375 1436.1669921875,car,1679.551513671875 1369.794189453125 1820.410400390625 1410.961181640625,0.3930204510688782,MOSISV,0.2056160756698397
69,2,1476.1885986328125 1017.539306640625 2022.3466796875 1435.6507568359375,car,1683.3216552734375 1374.907958984375 1821.3680419921875 1416.2705078125,0.3676849901676178,MOSTVSV,0.04030587253212526
60,3,713.5883178710938 807.37646484375 1145.05224609375 1130.310302734375,car,857.785888671875 1015.449462890625 1000.186767578125 1051.032958984375,0.26740673184394836,GX15QGJ,0.49338138435860474
61,3,711.7124633789062 809.9492274693081 1144.1924874441963 1133.905482700893,0,856.310546875 1017.5338657924107 998.9493059430804 1054.129359654018,0,0,0
62,3,709.8366088867188 812.521990094866 1143.332728794643 1137.5006626674108,0,854.835205078125 1019.6182686941964 997.7118443080357 1057.2257603236608,0,0,0
63,3,707.9607543945312 815.0947527204241 1142.4729701450892 1141.0958426339287,0,853.35986328125 1021.7026715959821 996.474382672991 1060.3221609933037,0,0,0
64,3,706.0848999023438 817.6675153459821 1141.6132114955358 1144.6910226004463,0,851.884521484375 1023.7870744977679 995.2369210379464 1063.4185616629463,0,0,0
65,3,704.2090454101562 820.2402779715402 1140.753452845982 1148.2862025669642,0,850.4091796875 1025.8714773995537 993.9994594029018 1066.5149623325892,0,0,0
66,3,702.3331909179688 822.8130405970982 1139.8936941964287 1151.881382533482,0,848.933837890625 1027.9558803013392 992.7619977678571 1069.611363002232,0,0,0
67,3,700.4573364257812 825.3858032226562 1139.033935546875 1155.4765625,car,847.45849609375 1030.040283203125 991.5245361328125 1072.707763671875,0.6000776290893555,GX15OGJ,0.25071111440974697
68,3,698.5184151785714 828.418927873884 1138.624965122768 1159.6160539899554,0,843.3001447405134 1034.9149693080358 990.4459838867188 1076.902099609375,0,0,0
69,3,696.5794939313616 831.4520525251116 1138.2159946986608 1163.7555454799108,0,839.1417933872768 1039.7896554129463 989.367431640625 1081.096435546875,0,0,0
70,3,694.6405726841518 834.4851771763393 1137.8070242745537 1167.8950369698662,0,834.9834420340402 1044.664341517857 988.2888793945312 1085.290771484375,0,0,0
71,3,692.7016514369419 837.5183018275669 1137.3980538504463 1172.0345284598213,0,830.8250906808036 1049.539027622768 987.2103271484375 1089.485107421875,0,0,0
72,3,690.7627301897321 840.5514264787946 1136.9890834263392 1176.1740199497767,0,826.6667393275669 1054.4137137276787 986.1317749023438 1093.679443359375,0,0,0
73,3,688.8238089425223 843.5845511300223 1136.580113002232 1180.313511439732,0,822.5083879743304 1059.2883998325892 985.05322265625 1097.873779296875,0,0,0
74,3,686.8848876953125 846.61767578125 1136.171142578125 1184.4530029296875,car,818.3500366210938 1064.1630859375 983.9746704101562 1102.068115234375,0.2674348056316376,GX15OGJ,0.5918149955484782
75,3,685.3049194335938 849.7611694335938 1135.192138671875 1188.580078125,0,823.0889892578125 1068.892724609375 981.4897705078125 1106.370654296875,0,0,0
76,3,683.724951171875 852.9046630859375 1134.213134765625 1192.7071533203125,0,827.8279418945312 1073.62236328125 979.0048706054688 1110.673193359375,0,0,0
77,3,682.1449829101563 856.0481567382812 1133.234130859375 1196.834228515625,0,832.56689453125 1078.352001953125 976.519970703125 1114.975732421875,0,0,0
78,3,680.5650146484375 859.191650390625 1132.255126953125 1200.9613037109375,0,837.3058471679688 1083.081640625 974.0350708007812 1119.278271484375,0,0,0
79,3,678.9850463867188 862.3351440429688 1131.276123046875 1205.08837890625,car,842.0447998046875 1087.811279296875 971.5501708984375 1123.580810546875,0.31987378001213074,GX15OGJ,0.35754229748213673
80,3,676.1148681640625 865.7908935546875 1131.2412109375 1210.0390625,car,843.839599609375 1092.92236328125 968.6783447265625 1127.7587890625,0.288448691368103,GX15OGJ,0.23583796481651256
81,3,672.9462280273438 868.2740783691406 1130.8862915039062 1214.1582641601562,0,832.4826354980469 1095.234130859375 971.2282409667969 1131.372314453125,0,0,0
82,3,669.777587890625 870.7572631835938 1130.5313720703125 1218.2774658203125,car,821.1256713867188 1097.5458984375 973.7781372070312 1134.98583984375,0.2528814971446991,GX15OGJ,0.40908284848181736
83,3,667.7705459594727 873.7566452026367 1129.953369140625 1223.1272430419922,0,818.7233200073242 1101.3575439453125 972.7309646606445 1140.023681640625,0,0,0
84,3,665.7635040283203 876.7560272216797 1129.3753662109375 1227.9770202636719,0,816.3209686279297 1105.169189453125 971.6837921142578 1145.0615234375,0,0,0
85,3,663.756462097168 879.7554092407227 1128.79736328125 1232.8267974853516,0,813.9186172485352 1108.9808349609375 970.6366195678711 1150.099365234375,0,0,0
86,3,661.7494201660156 882.7547912597656 1128.2193603515625 1237.6765747070312,0,811.5162658691406 1112.79248046875 969.5894470214844 1155.13720703125,0,0,0
87,3,659.7423782348633 885.7541732788086 1127.641357421875 1242.526351928711,0,809.1139144897461 1116.6041259765625 968.5422744750977 1160.175048828125,0,0,0
88,3,657.7353363037109 888.7535552978516 1127.0633544921875 1247.3761291503906,0,806.7115631103516 1120.415771484375 967.4951019287109 1165.212890625,0,0,0
89,3,655.7282943725586 891.7529373168945 1126.4853515625 1252.2259063720703,0,804.309211730957 1124.2274169921875 966.4479293823242 1170.250732421875,0,0,0
90,3,653.7212524414062 894.7523193359375 1125.9073486328125 1257.07568359375,car,801.9068603515625 1128.0390625 965.4007568359375 1175.28857421875,0.2931334972381592,GX15OGJ,0.17510624972357713
91,3,650.9115600585938 898.356298828125 1125.210400390625 1262.0493408203124,0,804.1458251953125 1132.962841796875 964.8177734375 1179.411669921875,0,0,0
92,3,648.1018676757812 901.9602783203125 1124.5134521484374 1267.022998046875,0,806.3847900390625 1137.88662109375 964.2347900390625 1183.534765625,0,0,0
93,3,645.2921752929688 905.5642578125 1123.81650390625 1271.9966552734375,0,808.6237548828125 1142.810400390625 963.651806640625 1187.657861328125,0,0,0
94,3,642.4824829101562 909.1682373046875 1123.1195556640625 1276.9703125,0,810.8627197265625 1147.7341796875 963.0688232421875 1191.78095703125,0,0,0
95,3,639.6727905273438 912.772216796875 1122.422607421875 1281.9439697265625,car,813.1016845703125 1152.657958984375 962.48583984375 1195.904052734375,0.7244802713394165,GX15OGJ,0.5949426421973668
96,3,637.6483154296875 920.7857055664062 1121.7598876953125 1286.5343017578125,car,797.199462890625 1157.5386962890625 955.1654052734375 1198.3052978515625,0.5946943759918213,GX15OGJ,0.731444327105482
97,3,637.13134765625 925.1049194335938 1121.8338623046875 1290.034423828125,car,807.5517578125 1160.792236328125 952.3404541015625 1200.56982421875,0.526504635810852,GX15OGJ,0.33176146730439343
98,3,635.0706176757812 926.7742309570312 1121.2833251953125 1296.1090087890625,car,801.3410034179688 1164.9862060546875 958.5482788085938 1213.0140380859375,0.6413871645927429,GX15OGJ,0.32945863614206017
99,3,633.2632242838541 927.7898152669271 1121.0272216796875 1301.7501627604167,0,802.6020100911459 1173.7622884114583 954.1632080078125 1218.3890787760417,0,0,0
100,3,631.4558308919271 928.8053995768229 1120.7711181640625 1307.3913167317708,0,803.8630167643229 1182.5383707682292 949.7781372070312 1223.7641194661458,0,0,0
101,3,629.6484375 929.8209838867188 1120.5150146484375 1313.032470703125,car,805.1240234375 1191.314453125 945.39306640625 1229.13916015625,0.3004034757614136,CX15OCJ,0.5830656202633069
102,3,626.4868774414062 928.2222900390625 1119.5916748046875 1318.160400390625,car,806.2686157226562 1197.1695556640625 948.8253784179688 1231.0784912109375,0.27025723457336426,GX15OCJ,0.3807358498068421
103,3,624.5625915527344 927.5675659179688 1118.4890747070312 1323.9776000976562,0,797.9371643066406 1200.1608276367188 944.0570983886719 1236.7879028320312,0,0,0
104,3,622.6383056640625 926.912841796875 1117.386474609375 1329.7947998046875,car,789.605712890625 1203.152099609375 939.288818359375 1242.497314453125,0.29581892490386963,GXISOG!,0.3526803929765019
105,3,619.7631225585938 935.1231689453125 1116.712890625 1336.30126953125,car,779.8416748046875 1205.3951416015625 936.2318115234375 1246.2916259765625,0.35613518953323364,GX15OGJ,0.23071311397760844
106,3,617.0256652832031 946.823486328125 1115.7673950195312 1341.4978637695312,0,785.40087890625 1211.5829467773438 935.0214233398438 1251.1735229492188,0,0,0
107,3,614.2882080078125 958.5238037109375 1114.8218994140625 1346.6944580078125,car,790.9600830078125 1217.770751953125 933.81103515625 1256.055419921875,0.7961754202842712,GXISOG,0.34401812973874807
108,3,610.6565551757812 965.2939453125 1113.65869140625 1352.681640625,car,776.16552734375 1218.0675048828125 940.203369140625 1259.9879150390625,0.42395344376564026,GX15OGJ,0.48301321167750644
109,3,608.9717407226562 972.7725219726562 1112.963134765625 1355.948974609375,car,781.7230224609375 1221.67919921875 937.8702392578125 1262.4267578125,0.5999059081077576,GX15OGJ,0.42037550097775056
110,3,605.1463012695312 980.0618286132812 1111.6510009765625 1363.482177734375,car,784.7071533203125 1225.681396484375 934.9200439453125 1275.305419921875,0.4977828562259674,GX15OGJ,0.33058116200206705
111,3,603.1488240559896 984.4103597005209 1110.6164957682292 1368.9845377604167,0,784.1820882161459 1234.5697835286458 913.8754475911459 1280.0880940755208,0,0,0
112,3,601.1513468424479 988.7588907877604 1109.5819905598958 1374.4868977864583,0,783.6570231119791 1243.4581705729167 892.8308512369791 1284.8707682291667,0,0,0
113,3,599.1538696289062 993.107421875 1108.5474853515625 1379.9892578125,car,783.1319580078125 1252.3465576171875 871.7862548828125 1289.6534423828125,0.6735518574714661,GXISO,0.6263179663730748
114,3,595.4418334960938 998.6490478515625 1107.79345703125 1386.82421875,car,767.9207763671875 1258.1209716796875 926.3995361328125 1295.3446044921875,0.548305332660675,GX15OGJ,0.251201752847511
115,3,594.0481567382812 1001.7222900390625 1107.4310302734375 1391.84521484375,car,770.6732177734375 1261.081298828125 928.9520263671875 1299.118896484375,0.3397538363933563,GX15ODJ,0.30138010695347506
116,3,591.4511108398438 1006.9068603515625 1106.4273681640625 1399.127685546875,car,762.87548828125 1264.440673828125 928.08056640625 1305.037841796875,0.4447261691093445,GX15OCJ,0.21422031668932762
117,3,588.0112915039062 1012.6312866210938 1105.3194580078125 1405.493896484375,car,764.7495727539062 1270.60400390625 918.9340209960938 1310.8408203125,0.29646095633506775,GX15OCJ,0.4147064530314686
118,3,585.903076171875 1016.6657104492188 1104.7247314453125 1410.182373046875,car,775.5718994140625 1279.257568359375 912.7362060546875 1314.996826171875,0.5715553760528564,GX15OGJ,0.23938421578101057
119,3,580.99169921875 1022.1920776367188 1103.6163330078125 1415.507080078125,car,766.7003173828125 1282.8460693359375 928.366455078125 1322.3931884765625,0.7694438695907593,GX15OGJ,0.41662910532873143
120,3,576.349365234375 1027.100341796875 1101.407958984375 1421.670166015625,car,758.4903564453125 1290.506591796875 915.2181396484375 1328.458740234375,0.6165077686309814,GX15OGJ,0.27287125369849596
121,3,574.5320434570312 1030.9434814453125 1100.3924560546875 1425.697265625,car,760.6505126953125 1290.4803466796875 922.7298583984375 1335.8209228515625,0.7287961840629578,GX15OGJ,0.27021689200691545
122,3,570.9759521484375 1036.1348876953125 1099.9913330078125 1430.95556640625,car,747.8238525390625 1297.646484375 902.4017333984375 1341.732421875,0.6432175636291504,GR15OGJ,0.4220308730961089
123,3,568.7947387695312 1041.265869140625 1099.3426513671875 1433.6243896484375,car,754.9273681640625 1310.998291015625 898.1806640625 1347.05322265625,0.6406623125076294,GX15OCJ,0.2714564135361235
